ID,下陷??Shape_Leng,angle,x,y,
11,-3,0.018,178.889137,120.3277736,23.51270175
11,-3,0.019,194.6764533,120.3276376,23.51171609
11,-3,0.02,209.7573464,120.3272274,23.51080838
11,-3,0.021,221.8026742,120.3266164,23.5100199
11,-3,0.022,236.031846,120.3258399,23.50939308
11,-3,0.023,247.921447,120.3249632,23.50891773
12,-3,0,252.878005,120.2570814,23.51712928
12,-3,0.001,319.4514652,120.2562195,23.51759796
12,-3,0.002,317.9084423,120.2555568,23.51834503
12,-3,0.003,325.2434783,120.2549514,23.51913969
12,-3,0.004,329.1815508,120.2544071,23.51997818
12,-3,0.005,333.8481887,120.2539212,23.52085176
12,-3,0.006,336.5792423,120.2534439,23.52172894
12,-3,0.007,340.2459134,120.2530729,23.52265717
12,-3,0.008,344.2396421,120.2527559,23.52360531
12,-3,0.009,349.1192814,120.2525222,23.52457711
12,-3,0.01,353.8648383,120.2523789,23.52556633
12,-3,0.011,359.3073838,120.2523331,23.52656476
12,-3,0.012,9.304776436,120.2523916,23.5275624
12,-3,0.013,22.35989983,120.2526163,23.52853427
12,-3,0.014,36.97818392,120.2531255,23.52938837
12,-3,0.015,51.05825434,120.2537994,23.53011925
12,-3,0.016,68.1236317,120.2547299,23.53032752
12,-3,0.017,91.23661554,120.2557021,23.53051251
12,-3,0.018,124.8794953,120.2566554,23.53029655
12,-3,0.019,114.5775041,120.2575669,23.52989821
12,-3,0.02,134.0814393,120.2583243,23.52928414
12,-3,0.021,121.4305608,120.2591779,23.52877406
12,-3,0.022,130.0980184,120.2599944,23.52819896
12,-3,0.023,133.2485123,120.2607488,23.52754394
12,-3,0.024,134.1583073,120.2614912,23.5268748
